path,name,label
D:\pytorch\dataloader\data\0_cat.png,cat,3
D:\pytorch\dataloader\data\0_frog.png,frog,6
D:\pytorch\dataloader\data\10000_automobile.png,automobile,1
D:\pytorch\dataloader\data\10001_frog.png,frog,6
D:\pytorch\dataloader\data\10003_ship.png,ship,8
D:\pytorch\dataloader\data\10004_ship.png,ship,8
D:\pytorch\dataloader\data\10005_cat.png,cat,3
D:\pytorch\dataloader\data\1000_truck.png,truck,9
D:\pytorch\dataloader\data\10011_cat.png,cat,3
D:\pytorch\dataloader\data\10012_frog.png,frog,6
D:\pytorch\dataloader\data\10013_frog.png,frog,6
D:\pytorch\dataloader\data\10014_dog.png,dog,5
D:\pytorch\dataloader\data\10015_deer.png,deer,4
D:\pytorch\dataloader\data\10016_ship.png,ship,8
D:\pytorch\dataloader\data\10010_airplane.png,airplane,0
D:\pytorch\dataloader\data\10017_cat.png,cat,3
D:\pytorch\dataloader\data\10018_bird.png,bird,2
D:\pytorch\dataloader\data\10019_frog.png,frog,6
D:\pytorch\dataloader\data\1001_airplane.png,airplane,0
D:\pytorch\dataloader\data\1001_deer.png,deer,4
D:\pytorch\dataloader\data\10020_airplane.png,airplane,0
D:\pytorch\dataloader\data\10021_cat.png,cat,3
D:\pytorch\dataloader\data\10022_automobile.png,automobile,1
D:\pytorch\dataloader\data\10023_deer.png,deer,4
D:\pytorch\dataloader\data\10024_airplane.png,airplane,0
D:\pytorch\dataloader\data\10002_frog.png,frog,6
D:\pytorch\dataloader\data\10006_deer.png,deer,4
D:\pytorch\dataloader\data\10007_frog.png,frog,6
D:\pytorch\dataloader\data\10008_airplane.png,airplane,0
D:\pytorch\dataloader\data\10009_frog.png,frog,6
D:\pytorch\dataloader\data\1000_dog.png,dog,5
D:\pytorch\dataloader\data\10025_frog.png,frog,6
D:\pytorch\dataloader\data\10026_frog.png,frog,6
D:\pytorch\dataloader\data\10027_bird.png,bird,2
D:\pytorch\dataloader\data\10028_horse.png,horse,7
D:\pytorch\dataloader\data\10029_frog.png,frog,6
D:\pytorch\dataloader\data\1002_cat.png,cat,3
D:\pytorch\dataloader\data\1002_ship.png,ship,8
D:\pytorch\dataloader\data\10030_truck.png,truck,9
D:\pytorch\dataloader\data\10031_airplane.png,airplane,0
D:\pytorch\dataloader\data\10032_deer.png,deer,4
D:\pytorch\dataloader\data\10033_dog.png,dog,5
D:\pytorch\dataloader\data\10034_horse.png,horse,7
D:\pytorch\dataloader\data\10035_automobile.png,automobile,1
D:\pytorch\dataloader\data\10036_frog.png,frog,6
D:\pytorch\dataloader\data\10037_horse.png,horse,7
D:\pytorch\dataloader\data\10038_truck.png,truck,9
D:\pytorch\dataloader\data\10039_automobile.png,automobile,1
D:\pytorch\dataloader\data\1003_bird.png,bird,2
D:\pytorch\dataloader\data\1003_deer.png,deer,4
D:\pytorch\dataloader\data\10040_horse.png,horse,7
D:\pytorch\dataloader\data\10041_horse.png,horse,7
D:\pytorch\dataloader\data\10042_ship.png,ship,8
D:\pytorch\dataloader\data\10043_airplane.png,airplane,0
D:\pytorch\dataloader\data\10044_cat.png,cat,3
D:\pytorch\dataloader\data\10045_horse.png,horse,7
D:\pytorch\dataloader\data\10046_deer.png,deer,4
D:\pytorch\dataloader\data\10047_horse.png,horse,7
D:\pytorch\dataloader\data\10048_cat.png,cat,3
D:\pytorch\dataloader\data\10049_automobile.png,automobile,1
D:\pytorch\dataloader\data\1004_deer.png,deer,4
D:\pytorch\dataloader\data\1004_ship.png,ship,8
D:\pytorch\dataloader\data\10050_airplane.png,airplane,0
D:\pytorch\dataloader\data\10051_deer.png,deer,4
D:\pytorch\dataloader\data\10052_frog.png,frog,6
D:\pytorch\dataloader\data\10053_frog.png,frog,6
D:\pytorch\dataloader\data\10054_automobile.png,automobile,1
D:\pytorch\dataloader\data\10055_deer.png,deer,4
D:\pytorch\dataloader\data\10056_truck.png,truck,9
D:\pytorch\dataloader\data\10057_bird.png,bird,2
D:\pytorch\dataloader\data\10058_frog.png,frog,6
D:\pytorch\dataloader\data\10059_deer.png,deer,4
D:\pytorch\dataloader\data\1005_automobile.png,automobile,1
D:\pytorch\dataloader\data\1005_deer.png,deer,4
D:\pytorch\dataloader\data\10060_dog.png,dog,5
D:\pytorch\dataloader\data\10061_airplane.png,airplane,0
D:\pytorch\dataloader\data\10062_deer.png,deer,4
D:\pytorch\dataloader\data\10063_frog.png,frog,6
D:\pytorch\dataloader\data\10064_airplane.png,airplane,0
D:\pytorch\dataloader\data\10065_ship.png,ship,8
D:\pytorch\dataloader\data\10066_cat.png,cat,3
D:\pytorch\dataloader\data\10067_deer.png,deer,4
D:\pytorch\dataloader\data\10068_ship.png,ship,8
D:\pytorch\dataloader\data\10069_ship.png,ship,8
D:\pytorch\dataloader\data\1006_automobile.png,automobile,1
D:\pytorch\dataloader\data\10070_cat.png,cat,3
D:\pytorch\dataloader\data\10071_truck.png,truck,9
D:\pytorch\dataloader\data\10072_dog.png,dog,5
D:\pytorch\dataloader\data\10073_horse.png,horse,7
D:\pytorch\dataloader\data\10074_automobile.png,automobile,1
D:\pytorch\dataloader\data\10075_truck.png,truck,9
D:\pytorch\dataloader\data\10076_deer.png,deer,4
D:\pytorch\dataloader\data\10077_horse.png,horse,7
D:\pytorch\dataloader\data\10078_truck.png,truck,9
D:\pytorch\dataloader\data\10079_automobile.png,automobile,1
D:\pytorch\dataloader\data\1007_deer.png,deer,4
D:\pytorch\dataloader\data\1007_ship.png,ship,8
D:\pytorch\dataloader\data\10080_truck.png,truck,9
D:\pytorch\dataloader\data\10081_horse.png,horse,7
D:\pytorch\dataloader\data\10082_dog.png,dog,5
D:\pytorch\dataloader\data\10083_bird.png,bird,2
D:\pytorch\dataloader\data\10084_horse.png,horse,7
D:\pytorch\dataloader\data\10085_cat.png,cat,3
D:\pytorch\dataloader\data\10086_deer.png,deer,4
D:\pytorch\dataloader\data\10087_ship.png,ship,8
D:\pytorch\dataloader\data\10088_ship.png,ship,8
D:\pytorch\dataloader\data\10089_bird.png,bird,2
D:\pytorch\dataloader\data\1008_bird.png,bird,2
D:\pytorch\dataloader\data\1008_truck.png,truck,9
D:\pytorch\dataloader\data\10090_automobile.png,automobile,1
D:\pytorch\dataloader\data\10091_dog.png,dog,5
D:\pytorch\dataloader\data\10092_truck.png,truck,9
D:\pytorch\dataloader\data\10093_bird.png,bird,2
D:\pytorch\dataloader\data\10094_horse.png,horse,7
D:\pytorch\dataloader\data\10095_ship.png,ship,8
D:\pytorch\dataloader\data\10096_ship.png,ship,8
D:\pytorch\dataloader\data\10097_frog.png,frog,6
D:\pytorch\dataloader\data\10098_ship.png,ship,8
D:\pytorch\dataloader\data\10099_ship.png,ship,8
D:\pytorch\dataloader\data\1009_bird.png,bird,2
D:\pytorch\dataloader\data\1009_frog.png,frog,6
D:\pytorch\dataloader\data\100_deer.png,deer,4
D:\pytorch\dataloader\data\100_ship.png,ship,8
D:\pytorch\dataloader\data\10100_automobile.png,automobile,1
D:\pytorch\dataloader\data\10101_cat.png,cat,3
D:\pytorch\dataloader\data\10102_ship.png,ship,8
D:\pytorch\dataloader\data\10103_ship.png,ship,8
D:\pytorch\dataloader\data\10104_dog.png,dog,5
D:\pytorch\dataloader\data\10105_deer.png,deer,4
D:\pytorch\dataloader\data\10106_horse.png,horse,7
D:\pytorch\dataloader\data\10107_automobile.png,automobile,1
D:\pytorch\dataloader\data\10108_frog.png,frog,6
D:\pytorch\dataloader\data\10109_frog.png,frog,6
D:\pytorch\dataloader\data\1010_airplane.png,airplane,0
D:\pytorch\dataloader\data\1010_cat.png,cat,3
D:\pytorch\dataloader\data\10110_automobile.png,automobile,1
D:\pytorch\dataloader\data\10111_frog.png,frog,6
D:\pytorch\dataloader\data\10112_automobile.png,automobile,1
